~iteration~,embedding_size,memory_size,queue_idx
326,128,4096,1792
327,128,4096,2048
328,128,4096,2304
329,128,4096,2560
330,128,4096,2816
331,128,4096,3072
332,128,4096,3328
333,128,4096,3584
334,128,4096,3840
335,128,4096,0
336,128,4096,256
337,128,4096,512
338,128,4096,768
339,128,4096,1024
340,128,4096,1280
341,128,4096,1536
342,128,4096,1792
343,128,4096,2048
344,128,4096,2304
345,128,4096,2560
346,128,4096,2816
347,128,4096,3072
348,128,4096,3328
349,128,4096,3584
350,128,4096,3840
351,128,4096,0
352,128,4096,256
353,128,4096,512
354,128,4096,768
355,128,4096,1024
356,128,4096,1280
357,128,4096,1536
358,128,4096,1792
359,128,4096,2048
360,128,4096,2304
361,128,4096,2560
362,128,4096,2816
363,128,4096,3072
364,128,4096,3328
365,128,4096,3584
366,128,4096,3840
367,128,4096,0
368,128,4096,256
369,128,4096,512
370,128,4096,768
371,128,4096,1024
372,128,4096,1280
373,128,4096,1536
374,128,4096,1792
375,128,4096,2048
376,128,4096,2304
377,128,4096,2560
378,128,4096,2816
379,128,4096,3072
380,128,4096,3328
381,128,4096,3584
382,128,4096,3840
383,128,4096,0
384,128,4096,256
385,128,4096,512
386,128,4096,768
387,128,4096,1024
388,128,4096,1280
389,128,4096,1536
390,128,4096,1792
391,128,4096,2048
392,128,4096,2304
393,128,4096,2560
394,128,4096,2816
395,128,4096,3072
396,128,4096,3328
397,128,4096,3584
398,128,4096,3840
399,128,4096,0
400,128,4096,256
401,128,4096,512
402,128,4096,768
403,128,4096,1024
404,128,4096,1280
405,128,4096,1536
406,128,4096,1792
407,128,4096,2048
408,128,4096,2304
409,128,4096,2560
410,128,4096,2816
411,128,4096,3072
412,128,4096,3328
413,128,4096,3584
414,128,4096,3840
415,128,4096,0
416,128,4096,256
417,128,4096,512
418,128,4096,768
419,128,4096,1024
420,128,4096,1280
421,128,4096,1536
422,128,4096,1792
423,128,4096,2048
424,128,4096,2304
425,128,4096,2560
426,128,4096,2816
427,128,4096,3072
428,128,4096,3328
429,128,4096,3584
430,128,4096,3840
431,128,4096,0
432,128,4096,256
433,128,4096,512
434,128,4096,768
435,128,4096,1024
436,128,4096,1280
437,128,4096,1536
438,128,4096,1792
439,128,4096,2048
440,128,4096,2304
441,128,4096,2560
442,128,4096,2816
443,128,4096,3072
444,128,4096,3328
445,128,4096,3584
446,128,4096,3840
447,128,4096,0
448,128,4096,256
449,128,4096,512
450,128,4096,768
451,128,4096,1024
452,128,4096,1280
453,128,4096,1536
454,128,4096,1792
455,128,4096,2048
456,128,4096,2304
457,128,4096,2560
458,128,4096,2816
459,128,4096,3072
460,128,4096,3328
461,128,4096,3584
462,128,4096,3840
463,128,4096,0
464,128,4096,256
465,128,4096,512
466,128,4096,768
467,128,4096,1024
468,128,4096,1280
469,128,4096,1536
470,128,4096,1792
