~iteration~,loss
0,5.468747138977051
1,6.122736930847168
2,6.521204948425293
3,6.796457767486572
4,7.0337677001953125
5,7.124013900756836
6,7.195616722106934
7,7.339785575866699
8,7.426183223724365
9,7.720376491546631
10,7.753862380981445
11,7.564316272735596
12,7.609155654907227
13,7.662537097930908
14,7.489741325378418
15,7.535477638244629
16,7.383488655090332
17,7.4357008934021
18,7.195320129394531
19,7.116271018981934
20,7.058191776275635
21,7.0010528564453125
22,6.8975958824157715
23,6.840703010559082
24,6.931741714477539
25,6.696244239807129
26,6.741332054138184
27,6.6267499923706055
28,6.681841850280762
29,6.56626033782959
30,6.522159099578857
31,6.495327949523926
32,6.482772350311279
33,6.406515121459961
34,6.505493640899658
35,6.388128280639648
36,6.367706298828125
37,6.432400703430176
38,6.3827104568481445
39,6.385366439819336
40,6.526148796081543
41,6.401308059692383
42,6.369683265686035
43,6.39655065536499
44,6.504342555999756
45,6.37916898727417
46,6.414870738983154
47,6.338627815246582
48,6.366845607757568
49,6.420450687408447
50,6.382561206817627
51,6.357574462890625
52,6.4145989418029785
53,6.369565010070801
54,6.417047023773193
55,6.338513374328613
56,6.3886566162109375
57,6.435827732086182
58,6.362748146057129
59,6.2900390625
60,6.332461357116699
61,6.433372497558594
62,6.352757453918457
63,6.41255521774292
64,6.441651344299316
65,6.381448745727539
66,6.3921027183532715
67,6.408028602600098
68,6.3284525871276855
69,6.309393882751465
70,6.491477012634277
71,6.452478408813477
72,6.478214263916016
73,6.424179553985596
74,6.455219268798828
75,6.4538679122924805
76,6.4091267585754395
77,6.373231887817383
78,6.419204235076904
79,6.3658671379089355
80,6.330811500549316
81,6.442747116088867
82,6.385568141937256
83,6.4039740562438965
84,6.380826950073242
85,6.449619293212891
86,6.440917015075684
87,6.447896957397461
88,6.413354873657227
89,6.536856174468994
90,6.432245254516602
91,6.460896968841553
92,6.486052989959717
93,6.449551582336426
94,6.477412700653076
95,6.484447479248047
96,6.418564796447754
97,6.509465217590332
98,6.465175151824951
99,6.417093276977539
100,6.518054962158203
101,6.460783958435059
102,6.549493789672852
103,6.482186317443848
104,6.48374080657959
105,6.403570652008057
106,6.394129753112793
107,6.4251909255981445
108,6.527956008911133
109,6.532520294189453
110,6.585264205932617
111,6.459002494812012
112,6.552408218383789
113,6.52018928527832
114,6.445094585418701
115,6.56290340423584
116,6.499993324279785
117,6.481317520141602
118,6.575004577636719
119,6.581228256225586
120,6.517728805541992
121,6.571520805358887
122,6.520877838134766
123,6.488842010498047
124,6.525043487548828
125,6.444159507751465
126,6.435385704040527
127,6.437060356140137
128,6.4482831954956055
129,6.5065717697143555
130,6.570868492126465
131,6.470869064331055
132,6.469705581665039
133,6.566760540008545
134,6.431047439575195
135,6.461796283721924
136,6.394172668457031
137,6.507622241973877
138,6.485217571258545
139,6.485823631286621
140,6.465465545654297
141,6.47266149520874
142,6.470362186431885
143,6.547964096069336
144,6.595746040344238
145,6.519643783569336
146,6.619724273681641
147,6.64218282699585
148,6.461482048034668
149,6.6439619064331055
150,6.470217227935791
151,6.5508575439453125
152,6.536553859710693
153,6.490914821624756
154,6.451358795166016
155,6.446924209594727
156,6.475582122802734
157,6.609892845153809
158,6.512322425842285
159,6.55483341217041
160,6.486081600189209
161,6.585963249206543
162,6.482208728790283
163,6.590614318847656
164,6.525947570800781
165,6.56931734085083
166,6.5113525390625
167,6.622439384460449
168,6.565731525421143
169,6.52708625793457
170,6.538244247436523
171,6.634183883666992
172,6.631228446960449
173,6.578025817871094
174,6.54919958114624
175,6.541573524475098
176,6.487476825714111
177,6.498081684112549
178,6.517355442047119
179,6.558290958404541
180,6.507607936859131
181,6.577800273895264
182,6.556495189666748
183,6.574954986572266
184,6.6273193359375
185,6.66625452041626
186,6.500258445739746
187,6.472258567810059
188,6.570555686950684
189,6.580583572387695
190,6.576992511749268
191,6.659735202789307
192,6.653304100036621
193,6.548981666564941
194,6.641716003417969
195,6.543498516082764
196,6.529413223266602
197,6.718630790710449
198,6.659077167510986
199,6.603792667388916
200,6.605770587921143
201,6.5621442794799805
202,6.500998020172119
203,6.591387748718262
204,6.602581977844238
205,6.5731916427612305
206,6.622583866119385
207,6.493145942687988
208,6.611512660980225
209,6.581527233123779
210,6.448774337768555
211,6.631300926208496
212,6.5860419273376465
213,6.67390251159668
214,6.565005779266357
215,6.5896992683410645
216,6.686407089233398
217,6.622817516326904
218,6.640535354614258
219,6.632586479187012
220,6.499814987182617
221,6.512270927429199
222,6.553949356079102
223,6.593654632568359
224,6.523906707763672
225,6.556722164154053
226,6.590288162231445
227,6.627039909362793
228,6.689888000488281
229,6.583037376403809
230,6.514525890350342
231,6.5299224853515625
232,6.5634894371032715
233,6.604928016662598
234,6.567409992218018
235,6.698957443237305
236,6.680057048797607
237,6.511909008026123
238,6.602180480957031
239,6.627890586853027
240,6.616326808929443
241,6.575797080993652
242,6.693697929382324
243,6.52789306640625
244,6.593562126159668
245,6.733892917633057
246,6.686246395111084
247,6.607600212097168
248,6.718870162963867
249,6.588030815124512
250,6.56173038482666
251,6.640889644622803
252,6.546970844268799
253,6.595415115356445
254,6.652797698974609
255,6.594913482666016
256,6.666931629180908
257,6.600785255432129
258,6.732025623321533
259,6.669111251831055
260,6.590298652648926
261,6.592100620269775
262,6.722873687744141
263,6.462564468383789
264,6.505650043487549
265,6.5486650466918945
266,6.594632625579834
267,6.67173957824707
268,6.72816276550293
269,6.59693717956543
270,6.599352836608887
271,6.661421298980713
272,6.506819725036621
273,6.621506690979004
274,6.725071907043457
275,6.552922248840332
276,6.728294372558594
277,6.5734968185424805
278,6.666745185852051
279,6.681291580200195
280,6.713932037353516
281,6.632260322570801
282,6.657461166381836
283,6.653772354125977
284,6.605025291442871
285,6.786671161651611
286,6.626804351806641
287,6.6972761154174805
288,6.571963787078857
289,6.679457664489746
290,6.6117401123046875
291,6.563782215118408
292,6.594345569610596
293,6.597736358642578
294,6.725367546081543
295,6.725988388061523
296,6.62090539932251
297,6.628351211547852
298,6.714893341064453
299,6.650345325469971
300,6.579251766204834
301,6.647857189178467
302,6.609203338623047
303,6.677410125732422
304,6.628105163574219
305,6.586450576782227
306,6.642361640930176
307,6.758374214172363
308,6.617430210113525
309,6.620043754577637
310,6.589423656463623
311,6.6898088455200195
312,6.512831687927246
313,6.551892280578613
314,6.59065580368042
315,6.62087345123291
316,6.714667320251465
317,6.6540398597717285
318,6.662930965423584
319,6.509927749633789
320,6.663477897644043
321,6.59739351272583
322,6.625214576721191
323,6.592476844787598
324,6.66898250579834
325,6.69484806060791
326,6.607840538024902
327,6.512151718139648
328,6.700568199157715
329,6.660592079162598
330,6.662145614624023
331,6.628876209259033
332,6.599400043487549
333,6.627331733703613
334,6.673423767089844
335,6.523643493652344
336,6.462616920471191
337,6.513649940490723
338,6.610736846923828
339,6.5452351570129395
340,6.610340118408203
341,6.485800743103027
342,6.582385063171387
343,6.569494247436523
344,6.496395111083984
345,6.6419596672058105
346,6.645695686340332
347,6.605782508850098
348,6.678725242614746
349,6.534740447998047
350,6.511050701141357
351,6.538308143615723
352,6.5934929847717285
353,6.677645683288574
354,6.630636692047119
355,6.674188137054443
356,6.607139587402344
357,6.609521865844727
358,6.640420913696289
359,6.596634864807129
360,6.583095073699951
361,6.753207206726074
362,6.564475059509277
363,6.554522514343262
364,6.502668857574463
365,6.5306396484375
366,6.572237968444824
367,6.646010398864746
368,6.673346519470215
369,6.509737491607666
370,6.617547035217285
371,6.719327926635742
372,6.638093948364258
373,6.596528053283691
374,6.584494590759277
375,6.627872467041016
376,6.567015171051025
377,6.664726257324219
378,6.704534530639648
379,6.548088073730469
380,6.558611869812012
381,6.636760711669922
382,6.541269302368164
383,6.48663854598999
384,6.575380802154541
385,6.548736572265625
386,6.550612926483154
387,6.637392044067383
388,6.58571720123291
389,6.682049751281738
390,6.6106462478637695
391,6.628859996795654
392,6.588953971862793
393,6.667995452880859
394,6.564679145812988
395,6.522508144378662
396,6.656484127044678
397,6.514917373657227
398,6.475772857666016
399,6.6233320236206055
400,6.619044780731201
401,6.539384841918945
402,6.436596870422363
403,6.628718376159668
404,6.532068252563477
405,6.478185653686523
406,6.480985641479492
407,6.544787406921387
408,6.556892395019531
409,6.662496566772461
410,6.702667713165283
411,6.492253303527832
412,6.517958164215088
413,6.512579917907715
414,6.546511650085449
415,6.535027027130127
416,6.682062149047852
417,6.538900375366211
418,6.5714826583862305
419,6.495565891265869
420,6.51375675201416
421,6.677373886108398
422,6.425683975219727
423,6.56377649307251
424,6.646867752075195
425,6.440680503845215
426,6.384318828582764
427,6.57835578918457
428,6.50566291809082
429,6.511415481567383
430,6.467794895172119
431,6.516849517822266
432,6.5477294921875
433,6.576595306396484
434,6.578289031982422
435,6.58715295791626
436,6.5530900955200195
437,6.566967010498047
438,6.575477600097656
439,6.528014183044434
440,6.651228904724121
441,6.6160993576049805
442,6.482728958129883
443,6.414916038513184
444,6.534339427947998
445,6.477197647094727
446,6.603309154510498
447,6.47806978225708
448,6.574092864990234
449,6.4848408699035645
450,6.498377799987793
451,6.54073429107666
452,6.545654296875
453,6.589387893676758
454,6.437154769897461
455,6.563632488250732
456,6.383115768432617
457,6.64597225189209
458,6.438877105712891
459,6.50747013092041
460,6.46019172668457
461,6.6321210861206055
462,6.5720319747924805
463,6.5514326095581055
464,6.567065238952637
465,6.656889915466309
466,6.454928398132324
467,6.612794399261475
468,6.495292663574219
469,6.538190841674805
470,6.575904846191406
471,6.608206272125244
472,6.516790866851807
473,6.484688758850098
474,6.379222393035889
475,6.395471096038818
476,6.405572891235352
477,6.502985000610352
478,6.423104286193848
479,6.519001007080078
480,6.466807842254639
481,6.470919132232666
482,6.395537376403809
483,6.602368354797363
484,6.569509983062744
485,6.55922794342041
486,6.498358726501465
487,6.391571521759033
488,6.465349197387695
489,6.436074256896973
490,6.4829301834106445
491,6.501840114593506
492,6.513667106628418
493,6.504996299743652
494,6.547043800354004
495,6.340641975402832
496,6.415863037109375
497,6.459498882293701
498,6.408167839050293
499,6.55322265625
500,6.373846054077148
501,6.556222438812256
502,6.534743309020996
503,6.4269256591796875
504,6.463268756866455
505,6.5263566970825195
506,6.412308692932129
507,6.49439811706543
508,6.44226598739624
509,6.547863006591797
510,6.391081809997559
511,6.538870334625244
512,6.507126808166504
513,6.537967205047607
514,6.43721866607666
515,6.4522528648376465
516,6.413155555725098
517,6.462256908416748
518,6.4820661544799805
519,6.521844387054443
520,6.485590934753418
521,6.253466606140137
522,6.426936626434326
523,6.315630912780762
524,6.451016426086426
525,6.435479164123535
526,6.484494209289551
527,6.339792728424072
528,6.496397018432617
529,6.554195404052734
530,6.476097583770752
531,6.37980842590332
532,6.366213798522949
533,6.389749526977539
534,6.443657398223877
535,6.466608047485352
536,6.342336654663086
537,6.392386436462402
538,6.391124725341797
539,6.302588939666748
540,6.506629467010498
541,6.5264153480529785
542,6.327969551086426
543,6.383072376251221
544,6.331024169921875
545,6.445749282836914
546,6.534007549285889
547,6.444700241088867
548,6.411886692047119
549,6.375438690185547
550,6.408431053161621
551,6.360809326171875
552,6.379037857055664
553,6.520206928253174
554,6.599697113037109
555,6.494663715362549
556,6.487041473388672
557,6.437902450561523
558,6.501371383666992
559,6.36864709854126
560,6.488696098327637
561,6.331606864929199
562,6.286995887756348
563,6.378137588500977
564,6.290946960449219
565,6.389466285705566
566,6.355112075805664
567,6.439380645751953
568,6.420262336730957
569,6.358426570892334
570,6.385400772094727
571,6.4461669921875
572,6.283487796783447
573,6.421132564544678
574,6.362496376037598
575,6.348323822021484
576,6.356233596801758
577,6.2374796867370605
578,6.474254608154297
579,6.310712814331055
580,6.373064994812012
581,6.389915466308594
582,6.4695587158203125
583,6.400974273681641
584,6.470324516296387
585,6.378925800323486
586,6.429246425628662
587,6.318536281585693
588,6.394792556762695
589,6.368599891662598
590,6.183389663696289
591,6.166637420654297
592,6.260299205780029
593,6.416835308074951
594,6.273624420166016
595,6.41455078125
596,6.345183372497559
597,6.293561935424805
598,6.422325134277344
599,6.454951286315918
600,6.345517158508301
601,6.328657150268555
602,6.320254325866699
603,6.349662780761719
604,6.336734771728516
605,6.588613510131836
606,6.208921432495117
607,6.45351505279541
608,6.290805339813232
609,6.434164047241211
610,6.145853042602539
611,6.3262739181518555
612,6.329619407653809
613,6.39963436126709
614,6.088948726654053
615,6.231783390045166
616,6.290466785430908
617,6.330326557159424
618,6.309353828430176
619,6.536388397216797
620,6.45626163482666
621,6.367593765258789
622,6.4468255043029785
623,6.206206321716309
624,6.367973327636719
625,6.384298324584961
626,6.341411590576172
627,6.280071258544922
628,6.335216522216797
629,6.256705284118652
630,6.377859592437744
631,6.274194240570068
632,6.342177867889404
633,6.424396514892578
634,6.205436706542969
635,6.176007270812988
636,6.316469669342041
637,6.282993316650391
638,6.265228271484375
639,6.240046501159668
640,6.378664970397949
641,6.351371765136719
642,6.456220626831055
643,6.271297454833984
644,6.477295875549316
645,6.410860538482666
646,6.403461456298828
647,6.172022342681885
648,6.3065056800842285
649,6.230090141296387
650,6.193642616271973
651,6.344030380249023
652,6.24993371963501
653,6.243491172790527
654,6.247790336608887
655,6.25911283493042
656,6.288548469543457
657,6.279341220855713
658,6.156313896179199
659,6.063498497009277
660,6.134897232055664
661,6.397082328796387
662,6.158919334411621
663,6.255063056945801
664,6.279586315155029
665,6.155397415161133
666,6.24393892288208
667,6.392560958862305
668,6.249209403991699
669,6.359709739685059
670,6.259407997131348
671,6.204900741577148
672,6.156414031982422
673,6.221158981323242
674,6.285881996154785
675,6.289012908935547
676,6.193052291870117
677,6.2208638191223145
678,6.27992582321167
679,6.255131721496582
680,6.259857654571533
681,6.186324596405029
682,6.244454383850098
683,6.175859451293945
684,6.1704511642456055
685,6.283743858337402
686,6.356149196624756
687,6.346946716308594
688,6.1787285804748535
689,6.126096248626709
690,6.3994879722595215
691,6.263515949249268
692,6.208319187164307
693,6.184018611907959
694,6.432669639587402
695,6.263964653015137
696,6.313804626464844
697,6.099413871765137
698,6.214532852172852
699,6.253695487976074
700,6.260163307189941
701,6.271081924438477
702,6.3498358726501465
703,6.2464752197265625
704,6.224320411682129
705,6.159651756286621
706,6.206227779388428
707,6.491203308105469
708,6.242565155029297
709,6.170755386352539
710,5.995680809020996
711,6.093993663787842
712,6.228029251098633
713,6.198853969573975
714,6.254335403442383
715,6.214234352111816
716,6.218535423278809
717,6.043285846710205
718,6.123046875
719,6.331874847412109
720,6.228140830993652
721,6.130413055419922
722,6.068663120269775
723,6.218542575836182
724,6.154242515563965
725,6.112679481506348
726,6.2524614334106445
727,6.247628211975098
728,6.112480163574219
729,6.214091777801514
730,6.275134086608887
731,6.2289323806762695
732,6.148210525512695
733,6.217061996459961
734,6.202160358428955
735,6.264059066772461
736,6.172877788543701
737,6.296281814575195
738,6.223091125488281
739,6.168694972991943
740,6.1718292236328125
741,6.138192176818848
742,6.326774597167969
743,6.23099946975708
744,6.313868999481201
745,6.189316749572754
746,6.056921005249023
747,6.224273204803467
748,6.008095741271973
749,6.2340545654296875
750,6.057350158691406
751,6.098198890686035
752,6.149419784545898
753,6.010928153991699
754,6.2075605392456055
755,6.046647548675537
756,6.178027153015137
757,6.150954246520996
758,6.257617950439453
759,6.077152252197266
760,6.269168853759766
761,5.893695831298828
762,6.271350860595703
763,6.1043291091918945
764,6.183135032653809
765,6.2241997718811035
766,6.2485880851745605
767,6.178555488586426
768,6.194735527038574
769,6.2917094230651855
770,6.076969623565674
771,6.330397129058838
772,6.260899543762207
773,6.113900184631348
774,6.248263359069824
775,6.204282760620117
776,6.160648822784424
777,6.197113513946533
778,6.107816219329834
779,6.0412492752075195
780,6.0656256675720215
781,6.175214767456055
782,6.066770553588867
783,6.124246597290039
784,6.046780109405518
785,6.1555047035217285
786,6.197970390319824
787,5.917857646942139
788,6.054350852966309
789,6.208962440490723
790,6.189469337463379
791,6.095013618469238
792,6.150278091430664
793,6.110985279083252
794,6.245152950286865
795,6.244656562805176
796,6.171746253967285
797,6.259730339050293
798,6.067734718322754
799,6.276744842529297
800,6.320868015289307
801,6.162261962890625
802,6.188413619995117
803,6.086601257324219
804,6.007037162780762
805,6.270340919494629
806,6.188872337341309
807,6.063003063201904
808,6.370593070983887
809,6.233311176300049
810,6.070511341094971
811,6.016816139221191
812,6.131262302398682
813,6.1603899002075195
814,6.071274757385254
815,6.074518203735352
816,6.151487827301025
817,6.126221656799316
818,6.208357334136963
819,6.110013008117676
820,6.021310806274414
821,6.072038650512695
822,6.209409713745117
823,6.223621368408203
824,6.180422782897949
825,6.10737419128418
826,5.952008247375488
827,6.058342456817627
828,6.071217060089111
829,5.982637882232666
830,6.113028049468994
831,6.068599700927734
832,5.867125511169434
833,6.311980724334717
834,6.123394012451172
835,5.947218418121338
836,5.961019039154053
837,6.160374164581299
838,6.026303291320801
839,6.080269813537598
840,6.116790294647217
841,6.090970039367676
842,6.042631149291992
843,6.200194358825684
844,6.0745134353637695
845,6.231182098388672
846,6.0475993156433105
847,6.146982192993164
848,6.117613792419434
849,6.115085601806641
850,6.088997840881348
851,6.049413681030273
852,6.234536170959473
853,6.035416603088379
854,6.193202972412109
855,6.0841875076293945
856,6.150397300720215
857,5.998379707336426
858,6.01852560043335
859,5.931265830993652
860,6.042728424072266
861,6.126774787902832
862,5.917154312133789
863,5.975539207458496
864,6.21096134185791
865,6.05683708190918
866,6.045244216918945
867,5.905002593994141
868,5.997188091278076
869,6.195849418640137
870,6.094444274902344
871,6.125614643096924
872,6.13671350479126
873,5.874913692474365
874,6.131336212158203
875,5.968904495239258
876,6.194894313812256
877,6.10574197769165
878,6.066664695739746
879,6.064907073974609
880,5.9280290603637695
881,5.935847759246826
882,5.978215217590332
883,6.060990333557129
884,6.055126667022705
885,6.145779609680176
886,6.043590545654297
887,5.928657054901123
888,6.003232002258301
889,5.935141563415527
890,6.238439083099365
891,6.088217258453369
892,5.957143783569336
893,5.918315887451172
894,5.875999450683594
895,6.217587471008301
896,6.062741756439209
897,5.990349769592285
898,5.954540252685547
899,6.055945873260498
900,5.943499565124512
901,5.914218902587891
902,6.0083136558532715
903,5.975523471832275
904,5.897284030914307
905,5.857095241546631
906,6.212946891784668
907,5.94469690322876
908,6.183845520019531
909,5.978211402893066
910,6.05709171295166
911,5.999295234680176
912,5.912623405456543
913,6.014064311981201
914,6.051959991455078
915,6.010397911071777
916,6.148865222930908
917,6.0296831130981445
918,6.085453033447266
919,5.817523002624512
920,6.0049848556518555
921,5.967473030090332
922,5.96228551864624
923,5.745764255523682
924,6.0123724937438965
925,6.080979824066162
926,5.852250576019287
927,5.873531341552734
928,6.044045448303223
929,6.023161888122559
930,5.938009262084961
931,6.091396808624268
932,6.150850296020508
933,6.004945755004883
934,5.811554431915283
935,6.024919509887695
936,6.034843921661377
937,5.8856282234191895
938,6.069272994995117
939,6.132021903991699
940,6.102309703826904
941,5.9275102615356445
